datetime,odometry_mode,stage,episode,outcome,steps_to_goal,path_directness,min_obstacle_dist,near_collisions,success_rate,collision_rate,rolling_success_rate_100,rolling_collision_rate_100,rolling_success_rate_500,rolling_collision_rate_500
2026-05-30 00:34:10,delta,1,1,collision,-1,0.7477,0.1989,13,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 00:34:22,delta,1,2,collision,-1,0.4411,0.1871,14,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 01:46:40,delta,1,3,collision,-1,0.1692,0.12,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 01:48:06,delta,1,4,collision,-1,0.1511,0.12,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 01:49:16,delta,1,5,collision,-1,0.1575,0.12,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 01:49:44,delta,1,6,collision,-1,0.4274,0.12,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 01:50:33,delta,1,7,collision,-1,0.1405,0.12,3,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 01:51:10,delta,1,8,success,34,0.1604,1.0122,0,12.5,87.5,12.5,87.5,12.5,87.5
2026-05-30 01:51:40,delta,1,9,success,28,0.2905,0.3165,0,22.22,77.78,22.22,77.78,22.22,77.78
2026-05-30 01:52:17,delta,1,10,collision,-1,0.1974,0.12,3,20.0,80.0,20.0,80.0,20.0,80.0
2026-05-30 01:53:47,delta,1,11,collision,-1,0.1196,0.1728,2,18.18,81.82,18.18,81.82,18.18,81.82
2026-05-30 01:54:35,delta,1,12,success,44,0.135,1.2698,0,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-30 01:55:25,delta,1,13,success,46,0.114,0.5545,0,30.77,69.23,30.77,69.23,30.77,69.23
2026-05-30 01:55:41,delta,1,14,collision,-1,0.685,0.12,1,28.57,71.43,28.57,71.43,28.57,71.43
2026-05-30 01:56:04,delta,1,15,collision,-1,0.4466,0.1599,1,26.67,73.33,26.67,73.33,26.67,73.33
2026-05-30 01:57:08,delta,1,16,collision,-1,0.0699,0.12,1,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-30 01:57:18,delta,1,17,success,8,0.4073,1.2599,0,29.41,70.59,29.41,70.59,29.41,70.59
2026-05-30 01:58:49,delta,1,18,collision,-1,0.0557,0.1816,2,27.78,72.22,27.78,72.22,27.78,72.22
2026-05-30 02:00:16,delta,1,19,collision,-1,0.1218,0.1268,1,26.32,73.68,26.32,73.68,26.32,73.68
2026-05-30 02:01:16,delta,1,20,collision,-1,0.1289,0.1947,2,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-30 02:02:50,delta,1,21,success,85,0.0841,1.1372,0,28.57,71.43,28.57,71.43,28.57,71.43
2026-05-30 02:03:08,delta,1,22,success,16,0.5326,0.3267,0,31.82,68.18,31.82,68.18,31.82,68.18
2026-05-30 02:05:02,delta,1,23,collision,-1,0.1175,0.1723,5,30.43,69.57,30.43,69.57,30.43,69.57
2026-05-30 02:05:05,delta,1,24,success,2,1.4997,1.8797,0,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-30 02:06:19,delta,1,25,success,68,0.0823,0.6959,0,36.0,64.0,36.0,64.0,36.0,64.0
2026-05-30 02:06:54,delta,1,26,success,30,0.319,0.757,0,38.46,61.54,38.46,61.54,38.46,61.54
2026-05-30 02:07:16,delta,1,27,collision,-1,0.4318,0.12,1,37.04,62.96,37.04,62.96,37.04,62.96
