datetime,odometry_mode,stage,episode,outcome,steps_to_goal,path_directness,min_obstacle_dist,near_collisions,success_rate,collision_rate,rolling_success_rate_100,rolling_collision_rate_100,rolling_success_rate_500,rolling_collision_rate_500
2026-05-30 21:00:52,full,1,1,collision,-1,0.7455,0.1806,13,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 21:01:04,full,1,2,collision,-1,0.4389,0.1841,14,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 21:41:55,full,1,3,collision,-1,0.5318,0.1267,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 21:44:26,full,1,4,collision,-1,0.0711,0.1764,3,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 21:45:10,full,1,5,collision,-1,0.2377,0.12,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-30 21:45:31,full,1,6,success,24,0.4812,0.8135,0,16.67,83.33,16.67,83.33,16.67,83.33
2026-05-30 21:45:47,full,1,7,collision,-1,0.3049,0.12,1,14.29,85.71,14.29,85.71,14.29,85.71
2026-05-30 21:46:03,full,1,8,collision,-1,0.302,0.12,1,12.5,87.5,12.5,87.5,12.5,87.5
2026-05-30 21:46:39,full,1,9,collision,-1,0.2254,0.1434,1,11.11,88.89,11.11,88.89,11.11,88.89
2026-05-30 21:48:03,full,1,10,collision,-1,0.0571,0.1877,2,10.0,90.0,10.0,90.0,10.0,90.0
2026-05-30 21:49:37,full,1,11,collision,-1,0.1071,0.142,1,9.09,90.91,9.09,90.91,9.09,90.91
2026-05-30 21:50:41,full,1,12,collision,-1,0.0891,0.12,1,8.33,91.67,8.33,91.67,8.33,91.67
2026-05-30 21:50:46,full,1,13,success,4,0.9923,1.5517,0,15.38,84.62,15.38,84.62,15.38,84.62
2026-05-30 21:50:59,full,1,14,collision,-1,0.5097,0.145,3,14.29,85.71,14.29,85.71,14.29,85.71
2026-05-30 21:52:14,full,1,15,success,84,0.1446,0.4891,0,20.0,80.0,20.0,80.0,20.0,80.0
2026-05-30 21:52:25,full,1,16,collision,-1,0.3244,0.1283,1,18.75,81.25,18.75,81.25,18.75,81.25
2026-05-30 21:52:31,full,1,17,success,6,0.7446,1.7674,0,23.53,76.47,23.53,76.47,23.53,76.47
2026-05-30 21:53:26,full,1,18,collision,-1,0.0786,0.12,1,22.22,77.78,22.22,77.78,22.22,77.78
2026-05-30 21:54:29,full,1,19,collision,-1,0.1446,0.12,1,21.05,78.95,21.05,78.95,21.05,78.95
2026-05-30 21:55:51,full,1,20,collision,-1,0.0791,0.1537,1,20.0,80.0,20.0,80.0,20.0,80.0
2026-05-30 21:56:04,full,1,21,success,12,0.7298,0.6493,0,23.81,76.19,23.81,76.19,23.81,76.19
2026-05-30 21:57:25,full,1,22,collision,-1,0.0835,0.12,1,22.73,77.27,22.73,77.27,22.73,77.27
2026-05-30 21:58:42,full,1,23,success,90,0.1328,0.3396,0,26.09,73.91,26.09,73.91,26.09,73.91
2026-05-30 21:58:45,full,1,24,success,2,1.0,1.9066,0,29.17,70.83,29.17,70.83,29.17,70.83
2026-05-30 21:59:34,full,1,25,collision,-1,0.0934,0.12,3,28.0,72.0,28.0,72.0,28.0,72.0
2026-05-30 22:00:05,full,1,26,collision,-1,0.2857,0.12,3,26.92,73.08,26.92,73.08,26.92,73.08
2026-05-30 22:02:28,full,1,27,collision,-1,0.0485,0.12,1,25.93,74.07,25.93,74.07,25.93,74.07
2026-05-30 22:04:22,full,1,28,success,130,0.0854,0.3502,0,28.57,71.43,28.57,71.43,28.57,71.43
2026-05-30 22:04:56,full,1,29,collision,-1,0.3054,0.12,3,27.59,72.41,27.59,72.41,27.59,72.41
2026-05-30 22:05:09,full,1,30,collision,-1,0.6888,0.12,1,26.67,73.33,26.67,73.33,26.67,73.33
2026-05-30 22:05:23,full,1,31,collision,-1,0.6589,0.1847,1,25.81,74.19,25.81,74.19,25.81,74.19
2026-05-30 22:07:06,full,1,32,collision,-1,0.0592,0.12,3,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-30 22:08:13,full,1,33,collision,-1,0.1598,0.1242,1,24.24,75.76,24.24,75.76,24.24,75.76
2026-05-30 22:11:27,full,1,34,success,230,0.0363,0.5952,0,26.47,73.53,26.47,73.53,26.47,73.53
2026-05-30 22:13:11,full,1,35,collision,-1,0.0597,0.122,1,25.71,74.29,25.71,74.29,25.71,74.29
2026-05-30 22:13:54,full,1,36,collision,-1,0.2015,0.12,1,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-30 22:16:28,full,1,37,collision,-1,0.0554,0.1305,1,24.32,75.68,24.32,75.68,24.32,75.68
2026-05-30 22:17:35,full,1,38,collision,-1,0.1024,0.12,1,23.68,76.32,23.68,76.32,23.68,76.32
2026-05-30 22:18:06,full,1,39,success,36,0.319,0.2131,3,25.64,74.36,25.64,74.36,25.64,74.36
2026-05-30 22:18:28,full,1,40,collision,-1,0.4386,0.12,1,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-30 22:18:37,full,1,41,success,8,0.7932,0.8525,0,26.83,73.17,26.83,73.17,26.83,73.17
2026-05-30 22:18:57,full,1,42,success,24,0.3262,0.7418,0,28.57,71.43,28.57,71.43,28.57,71.43
2026-05-30 22:19:02,full,1,43,success,4,1.0,1.6069,0,30.23,69.77,30.23,69.77,30.23,69.77
2026-05-30 22:19:10,full,1,44,success,8,0.8987,1.4459,0,31.82,68.18,31.82,68.18,31.82,68.18
2026-05-30 22:19:35,full,1,45,success,28,0.3052,0.4601,0,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-30 22:20:13,full,1,46,success,44,0.1935,0.7642,0,34.78,65.22,34.78,65.22,34.78,65.22
2026-05-30 22:23:40,full,1,47,timeout,-1,0.0443,0.9299,0,34.04,63.83,34.04,63.83,34.04,63.83
2026-05-30 22:24:56,full,1,48,success,86,0.0789,0.7088,0,35.42,62.5,35.42,62.5,35.42,62.5
2026-05-30 22:26:32,full,1,49,collision,-1,0.0606,0.12,5,34.69,63.27,34.69,63.27,34.69,63.27
2026-05-30 22:29:14,full,1,50,collision,-1,0.0395,0.12,3,34.0,64.0,34.0,64.0,34.0,64.0
2026-05-30 22:32:45,full,1,51,timeout,-1,0.0453,0.5444,0,33.33,62.75,33.33,62.75,33.33,62.75
2026-05-30 22:36:15,full,1,52,timeout,-1,0.045,0.6516,0,32.69,61.54,32.69,61.54,32.69,61.54
2026-05-30 22:36:26,full,1,53,success,12,0.883,0.7982,0,33.96,60.38,33.96,60.38,33.96,60.38
2026-05-30 22:37:11,full,1,54,collision,-1,0.2282,0.12,3,33.33,61.11,33.33,61.11,33.33,61.11
2026-05-30 22:38:42,full,1,55,collision,-1,0.0699,0.1638,3,32.73,61.82,32.73,61.82,32.73,61.82
2026-05-30 22:39:25,full,1,56,success,50,0.1551,0.8771,0,33.93,60.71,33.93,60.71,33.93,60.71
2026-05-30 22:42:51,full,1,57,timeout,-1,0.0393,0.8247,0,33.33,59.65,33.33,59.65,33.33,59.65
2026-05-30 22:46:19,full,1,58,timeout,-1,0.0353,0.3663,0,32.76,58.62,32.76,58.62,32.76,58.62
2026-05-30 22:46:51,full,1,59,collision,-1,0.2225,0.12,3,32.2,59.32,32.2,59.32,32.2,59.32
2026-05-30 22:47:09,full,1,60,success,20,0.4363,0.5455,0,33.33,58.33,33.33,58.33,33.33,58.33
2026-05-30 22:47:55,full,1,61,success,54,0.1563,0.6308,0,34.43,57.38,34.43,57.38,34.43,57.38
2026-05-30 22:48:08,full,1,62,success,14,0.3469,0.7581,0,35.48,56.45,35.48,56.45,35.48,56.45
2026-05-30 22:48:13,full,1,63,success,4,1.0,1.4456,0,36.51,55.56,36.51,55.56,36.51,55.56
2026-05-30 22:48:33,full,1,64,success,22,0.2647,1.1698,0,37.5,54.69,37.5,54.69,37.5,54.69
2026-05-30 22:50:58,full,1,65,success,174,0.0321,0.9062,0,38.46,53.85,38.46,53.85,38.46,53.85
2026-05-30 22:53:04,full,1,66,collision,-1,0.062,0.1678,7,37.88,54.55,37.88,54.55,37.88,54.55
2026-05-30 22:56:05,full,1,67,collision,-1,0.0477,0.1737,1,37.31,55.22,37.31,55.22,37.31,55.22
2026-05-30 22:59:33,full,1,68,timeout,-1,0.0306,0.6292,0,36.76,54.41,36.76,54.41,36.76,54.41
2026-05-30 23:00:22,full,1,69,success,55,0.0986,1.3902,0,37.68,53.62,37.68,53.62,37.68,53.62
2026-05-30 23:01:36,full,1,70,success,86,0.0867,1.0037,0,38.57,52.86,38.57,52.86,38.57,52.86
2026-05-30 23:04:30,full,1,71,collision,-1,0.0328,0.1218,9,38.03,53.52,38.03,53.52,38.03,53.52
2026-05-30 23:06:54,full,1,72,success,172,0.052,0.4998,0,38.89,52.78,38.89,52.78,38.89,52.78
2026-05-30 23:07:49,full,1,73,collision,-1,0.1259,0.12,1,38.36,53.42,38.36,53.42,38.36,53.42
2026-05-30 23:07:57,full,1,74,success,8,0.6344,0.9656,0,39.19,52.7,39.19,52.7,39.19,52.7
2026-05-30 23:08:02,full,1,75,success,4,0.9052,1.4808,0,40.0,52.0,40.0,52.0,40.0,52.0
2026-05-30 23:10:52,full,1,76,collision,-1,0.0518,0.1681,1,39.47,52.63,39.47,52.63,39.47,52.63
2026-05-30 23:14:19,full,1,77,timeout,-1,0.0344,0.2008,5,38.96,51.95,38.96,51.95,38.96,51.95
2026-05-30 23:15:01,full,1,78,success,49,0.1208,0.7569,0,39.74,51.28,39.74,51.28,39.74,51.28
2026-05-30 23:15:25,full,1,79,collision,-1,0.3483,0.1924,2,39.24,51.9,39.24,51.9,39.24,51.9
2026-05-30 23:16:03,full,1,80,success,41,0.153,0.7222,0,40.0,51.25,40.0,51.25,40.0,51.25
2026-05-30 23:16:18,full,1,81,success,17,0.3328,1.0581,0,40.74,50.62,40.74,50.62,40.74,50.62
2026-05-30 23:17:20,full,1,82,collision,-1,0.0963,0.12,3,40.24,51.22,40.24,51.22,40.24,51.22
2026-05-30 23:18:11,full,1,83,collision,-1,0.119,0.1625,1,39.76,51.81,39.76,51.81,39.76,51.81
2026-05-30 23:18:37,full,1,84,success,28,0.1869,0.7638,0,40.48,51.19,40.48,51.19,40.48,51.19
2026-05-30 23:22:12,full,1,85,timeout,-1,0.0382,0.3131,0,40.0,50.59,40.0,50.59,40.0,50.59
2026-05-30 23:24:05,full,1,86,success,131,0.0681,0.6087,0,40.7,50.0,40.7,50.0,40.7,50.0
2026-05-30 23:24:14,full,1,87,success,8,0.9614,0.9914,0,41.38,49.43,41.38,49.43,41.38,49.43
2026-05-30 23:24:18,full,1,88,success,5,1.0,1.549,0,42.05,48.86,42.05,48.86,42.05,48.86
2026-05-30 23:26:06,full,1,89,success,123,0.058,0.3072,0,42.7,48.31,42.7,48.31,42.7,48.31
2026-05-30 23:26:11,full,1,90,success,4,1.0,1.4457,0,43.33,47.78,43.33,47.78,43.33,47.78
2026-05-30 23:26:51,full,1,91,collision,-1,0.0966,0.1888,1,42.86,48.35,42.86,48.35,42.86,48.35
2026-05-30 23:29:03,full,1,92,collision,-1,0.0604,0.12,1,42.39,48.91,42.39,48.91,42.39,48.91
2026-05-30 23:32:31,full,1,93,timeout,-1,0.0467,0.549,0,41.94,48.39,41.94,48.39,41.94,48.39
2026-05-30 23:33:11,full,1,94,success,45,0.16,0.6069,0,42.55,47.87,42.55,47.87,42.55,47.87
2026-05-30 23:33:56,full,1,95,success,52,0.1525,0.4499,0,43.16,47.37,43.16,47.37,43.16,47.37
2026-05-30 23:35:35,full,1,96,collision,-1,0.0453,0.1377,3,42.71,47.92,42.71,47.92,42.71,47.92
2026-05-30 23:35:46,full,1,97,success,12,0.7267,1.071,0,43.3,47.42,43.3,47.42,43.3,47.42
2026-05-30 23:36:45,full,1,98,success,70,0.1211,0.3187,0,43.88,46.94,43.88,46.94,43.88,46.94
2026-05-30 23:37:32,full,1,99,collision,-1,0.0827,0.1502,3,43.43,47.47,43.43,47.47,43.43,47.47
2026-05-30 23:37:48,full,1,100,collision,-1,0.5093,0.12,1,43.0,48.0,43.0,48.0,43.0,48.0
2026-05-30 23:38:08,full,1,101,collision,-1,0.5452,0.1744,2,42.57,48.51,43.0,48.0,42.57,48.51
