datetime,odometry_mode,stage,episode,outcome,steps_to_goal,path_directness,min_obstacle_dist,near_collisions,success_rate,collision_rate,rolling_success_rate_100,rolling_collision_rate_100,rolling_success_rate_500,rolling_collision_rate_500
2026-05-28 23:46:00,none,1,1,collision,-1,0.181,0.1232,1,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-28 23:46:02,none,1,2,success,1,17.8242,2.3258,0,50.0,50.0,50.0,50.0,50.0,50.0
2026-05-28 23:46:45,none,1,3,collision,-1,0.2115,0.1899,3,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-28 23:46:51,none,1,4,success,6,0.4927,1.3388,0,50.0,50.0,50.0,50.0,50.0,50.0
2026-05-28 23:47:43,none,1,5,collision,-1,0.103,0.1267,1,40.0,60.0,40.0,60.0,40.0,60.0
2026-05-28 23:48:55,none,1,6,collision,-1,0.1169,0.1583,1,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-28 23:49:08,none,1,7,collision,-1,0.732,0.1855,1,28.57,71.43,28.57,71.43,28.57,71.43
2026-05-28 23:50:51,none,1,8,collision,-1,0.0685,0.12,3,25.0,75.0,25.0,75.0,25.0,75.0
2026-05-28 23:54:11,none,1,9,timeout,-1,0.0446,0.2639,2,22.22,66.67,22.22,66.67,22.22,66.67
2026-05-28 23:54:53,none,1,10,collision,-1,0.0924,0.1606,3,20.0,70.0,20.0,70.0,20.0,70.0
2026-05-28 23:56:34,none,1,11,collision,-1,0.0553,0.1393,6,18.18,72.73,18.18,72.73,18.18,72.73
2026-05-28 23:56:44,none,1,12,success,10,0.8675,0.454,0,25.0,66.67,25.0,66.67,25.0,66.67
2026-05-28 23:57:06,none,1,13,collision,-1,0.2645,0.12,1,23.08,69.23,23.08,69.23,23.08,69.23
2026-05-28 23:59:46,none,1,14,collision,-1,0.0521,0.1254,3,21.43,71.43,21.43,71.43,21.43,71.43
2026-05-29 00:00:56,none,1,15,collision,-1,0.0826,0.1756,1,20.0,73.33,20.0,73.33,20.0,73.33
2026-05-29 00:01:32,none,1,16,collision,-1,0.2188,0.1694,3,18.75,75.0,18.75,75.0,18.75,75.0
2026-05-29 00:02:05,none,1,17,collision,-1,0.2468,0.1901,3,17.65,76.47,17.65,76.47,17.65,76.47
2026-05-29 00:02:54,none,1,18,collision,-1,0.1378,0.12,1,16.67,77.78,16.67,77.78,16.67,77.78
2026-05-29 00:03:05,none,1,19,collision,-1,0.3718,0.199,2,15.79,78.95,15.79,78.95,15.79,78.95
2026-05-29 00:04:24,none,1,20,collision,-1,0.0946,0.1374,1,15.0,80.0,15.0,80.0,15.0,80.0
2026-05-29 00:04:39,none,1,21,collision,-1,0.4733,0.12,1,14.29,80.95,14.29,80.95,14.29,80.95
2026-05-29 00:04:43,none,1,22,success,4,0.9681,1.7896,0,18.18,77.27,18.18,77.27,18.18,77.27
2026-05-29 00:04:53,none,1,23,success,10,1.0682,1.262,0,21.74,73.91,21.74,73.91,21.74,73.91
2026-05-29 00:05:21,none,1,24,collision,-1,0.3548,0.1557,1,20.83,75.0,20.83,75.0,20.83,75.0
2026-05-29 00:06:21,none,1,25,collision,-1,0.0501,0.177,2,20.0,76.0,20.0,76.0,20.0,76.0
2026-05-29 00:06:35,none,1,26,collision,-1,0.8894,0.12,1,19.23,76.92,19.23,76.92,19.23,76.92
2026-05-29 00:09:58,none,1,27,timeout,-1,0.0473,0.5563,0,18.52,74.07,18.52,74.07,18.52,74.07
2026-05-29 00:10:23,none,1,28,success,27,0.2264,1.3713,0,21.43,71.43,21.43,71.43,21.43,71.43
2026-05-29 00:12:39,none,1,29,collision,-1,0.0299,0.1859,7,20.69,72.41,20.69,72.41,20.69,72.41
2026-05-29 00:15:55,none,1,30,collision,-1,0.0347,0.1355,1,20.0,73.33,20.0,73.33,20.0,73.33
2026-05-29 00:16:19,none,1,31,collision,-1,0.0818,0.1555,1,19.35,74.19,19.35,74.19,19.35,74.19
2026-05-29 00:16:55,none,1,32,collision,-1,0.1264,0.12,1,18.75,75.0,18.75,75.0,18.75,75.0
2026-05-29 00:17:39,none,1,33,collision,-1,0.2571,0.1413,3,18.18,75.76,18.18,75.76,18.18,75.76
2026-05-29 00:18:11,none,1,34,collision,-1,0.1514,0.174,1,17.65,76.47,17.65,76.47,17.65,76.47
