datetime,odometry_mode,stage,episode,outcome,steps_to_goal,path_directness,min_obstacle_dist,near_collisions,success_rate,collision_rate,rolling_success_rate_100,rolling_collision_rate_100,rolling_success_rate_500,rolling_collision_rate_500
2026-05-29 08:20:27,twist,1,1,collision,-1,0.7474,0.1942,14,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-29 08:20:38,twist,1,2,collision,-1,0.4441,0.1935,10,0.0,100.0,0.0,100.0,0.0,100.0
2026-05-29 08:20:40,twist,1,3,success,1,939.7122,2.3017,0,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 08:46:06,twist,1,4,success,6,0.5729,1.4627,0,50.0,50.0,50.0,50.0,50.0,50.0
2026-05-29 08:46:51,twist,1,5,success,54,0.1252,0.9797,0,60.0,40.0,60.0,40.0,60.0,40.0
2026-05-29 08:47:19,twist,1,6,collision,-1,0.3369,0.1769,2,50.0,50.0,50.0,50.0,50.0,50.0
2026-05-29 08:48:24,twist,1,7,success,80,0.1614,0.6704,0,57.14,42.86,57.14,42.86,57.14,42.86
2026-05-29 08:50:35,twist,1,8,collision,-1,0.0526,0.12,1,50.0,50.0,50.0,50.0,50.0,50.0
2026-05-29 08:51:56,twist,1,9,collision,-1,0.1176,0.12,2,44.44,55.56,44.44,55.56,44.44,55.56
2026-05-29 08:53:13,twist,1,10,collision,-1,0.0484,0.12,1,40.0,60.0,40.0,60.0,40.0,60.0
2026-05-29 08:53:39,twist,1,11,collision,-1,0.2103,0.1205,1,36.36,63.64,36.36,63.64,36.36,63.64
2026-05-29 08:54:03,twist,1,12,collision,-1,0.4366,0.156,1,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 08:54:23,twist,1,13,collision,-1,0.2798,0.12,5,30.77,69.23,30.77,69.23,30.77,69.23
2026-05-29 08:55:15,twist,1,14,success,62,0.1612,1.0053,0,35.71,64.29,35.71,64.29,35.71,64.29
2026-05-29 08:55:24,twist,1,15,collision,-1,0.6391,0.1971,2,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 08:55:39,twist,1,16,collision,-1,0.6592,0.12,3,31.25,68.75,31.25,68.75,31.25,68.75
2026-05-29 08:57:02,twist,1,17,collision,-1,0.115,0.1605,1,29.41,70.59,29.41,70.59,29.41,70.59
2026-05-29 08:57:24,twist,1,18,collision,-1,0.3662,0.187,3,27.78,72.22,27.78,72.22,27.78,72.22
2026-05-29 08:57:34,twist,1,19,success,10,0.4995,1.6807,0,31.58,68.42,31.58,68.42,31.58,68.42
2026-05-29 08:58:13,twist,1,20,success,46,0.2001,0.5324,0,35.0,65.0,35.0,65.0,35.0,65.0
2026-05-29 08:58:44,twist,1,21,collision,-1,0.1816,0.1542,1,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 08:58:49,twist,1,22,success,4,0.8582,1.6576,0,36.36,63.64,36.36,63.64,36.36,63.64
2026-05-29 09:00:05,twist,1,23,collision,-1,0.0933,0.1216,3,34.78,65.22,34.78,65.22,34.78,65.22
2026-05-29 09:01:08,twist,1,24,collision,-1,0.1654,0.1895,1,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 09:01:11,twist,1,25,success,2,1.1968,1.7662,0,36.0,64.0,36.0,64.0,36.0,64.0
2026-05-29 09:03:26,twist,1,26,collision,-1,0.075,0.12,1,34.62,65.38,34.62,65.38,34.62,65.38
2026-05-29 09:03:40,twist,1,27,collision,-1,0.7466,0.12,3,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 09:04:27,twist,1,28,collision,-1,0.1,0.1836,5,32.14,67.86,32.14,67.86,32.14,67.86
2026-05-29 09:05:49,twist,1,29,collision,-1,0.0571,0.12,1,31.03,68.97,31.03,68.97,31.03,68.97
2026-05-29 09:07:10,twist,1,30,success,96,0.0764,0.7067,0,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 09:08:02,twist,1,31,collision,-1,0.0377,0.12,1,32.26,67.74,32.26,67.74,32.26,67.74
2026-05-29 09:08:12,twist,1,32,collision,-1,0.4279,0.1914,2,31.25,68.75,31.25,68.75,31.25,68.75
2026-05-29 09:08:45,twist,1,33,collision,-1,0.3602,0.12,7,30.3,69.7,30.3,69.7,30.3,69.7
2026-05-29 09:08:55,twist,1,34,collision,-1,0.4958,0.1673,1,29.41,70.59,29.41,70.59,29.41,70.59
2026-05-29 09:09:31,twist,1,35,success,42,0.1193,1.3357,0,31.43,68.57,31.43,68.57,31.43,68.57
2026-05-29 09:10:20,twist,1,36,success,58,0.205,0.5208,0,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 09:11:50,twist,1,37,collision,-1,0.108,0.12,1,32.43,67.57,32.43,67.57,32.43,67.57
2026-05-29 09:11:59,twist,1,38,success,10,0.5529,1.5812,0,34.21,65.79,34.21,65.79,34.21,65.79
2026-05-29 09:12:05,twist,1,39,success,4,0.9806,1.6791,0,35.9,64.1,35.9,64.1,35.9,64.1
2026-05-29 09:12:25,twist,1,40,collision,-1,0.2088,0.162,7,35.0,65.0,35.0,65.0,35.0,65.0
2026-05-29 09:12:44,twist,1,41,collision,-1,0.6257,0.1245,1,34.15,65.85,34.15,65.85,34.15,65.85
2026-05-29 09:13:54,twist,1,42,collision,-1,0.0973,0.12,1,33.33,66.67,33.33,66.67,33.33,66.67
2026-05-29 09:14:09,twist,1,43,collision,-1,0.2202,0.12,3,32.56,67.44,32.56,67.44,32.56,67.44
2026-05-29 09:16:15,twist,1,44,collision,-1,0.0571,0.12,1,31.82,68.18,31.82,68.18,31.82,68.18
2026-05-29 09:18:20,twist,1,45,success,150,0.0556,0.8575,0,33.33,66.67,33.33,66.67,33.33,66.67
