,scores
0,-10
1,-10
2,100
3,-10
4,-10
5,-10
6,-10
7,-10
8,-10
9,-10
10,100
11,-10
12,-10
13,-10
14,-10
15,100
16,-10
17,100
18,-10
19,-10
20,-10
21,-10
22,100
23,-10
24,-10
25,-10
26,-10
27,-10
28,100
29,-10
30,-10
31,-10
32,-10
33,-10
34,100
35,-10
36,-10
37,-10
38,-10
39,-10
40,-10
41,-10
42,100
43,100
44,-10
45,-10
46,-10
47,100
48,-10
49,-10
50,-10
51,-10
52,-10
53,-10
54,-10
55,-10
56,-10
57,-10
58,-10
59,-10
60,-10
61,100
62,100
63,-10
64,-10
65,-10
66,100
67,-10
68,-10
69,-10
70,100
71,-10
72,-10
73,-10
74,100
75,-10
76,-10
77,-10
78,-10
79,-10
80,100
81,-10
82,-10
83,-10
84,-10
85,-10
86,-10
87,100
88,-10
89,-10
90,-10
91,100
92,-10
93,-10
94,-10
95,-10
96,100
97,-10
98,-10
99,-10
